iter	Passed	Remaining
672	13024	180502
673	13043	180480
674	13063	180466
675	13081	180436
676	13101	180416
677	13120	180396
678	13140	180382
679	13160	180375
680	13179	180352
681	13201	180374
682	13220	180344
683	13239	180314
684	13257	180287
685	13277	180265
686	13296	180249
687	13315	180218
688	13334	180195
689	13352	180160
690	13373	180163
691	13394	180161
692	13413	180144
693	13431	180107
694	13451	180089
695	13471	180086
696	13491	180074
697	13510	180048
698	13529	180026
699	13548	180004
700	13578	180120
701	13600	180139
702	13619	180111
703	13638	180089
704	13657	180068
705	13677	180050
706	13695	180022
707	13714	179998
708	13736	180003
709	13755	179982
710	13775	179968
711	13794	179947
712	13812	179907
713	13831	179881
714	13850	179856
715	13869	179834
716	13887	179807
717	13907	179789
718	13926	179767
719	13945	179740
720	13964	179716
721	13984	179706
722	14004	179693
723	14022	179655
724	14041	179638
725	14061	179622
726	14080	179595
727	14099	179573
728	14119	179561
729	14138	179533
730	14156	179505
731	14175	179474
732	14193	179441
733	14211	179410
734	14230	179386
735	14250	179375
736	14271	179370
737	14290	179345
738	14309	179321
739	14328	179295
740	14346	179261
741	14365	179243
742	14384	179211
743	14402	179176
744	14421	179161
745	14442	179153
746	14461	179128
747	14480	179109
748	14499	179081
749	14517	179051
750	14538	179048
751	14557	179020
752	14576	179003
753	14595	178976
754	14615	178965
755	14635	178955
756	14654	178934
757	14673	178911
758	14692	178890
759	14711	178859
760	14730	178842
761	14749	178814
762	14769	178801
763	14789	178787
764	14807	178752
765	14826	178733
766	14845	178710
767	14864	178685
768	14882	178651
769	14901	178628
770	14921	178606
771	14940	178592
772	14959	178566
773	14977	178528
774	14997	178513
775	15015	178485
776	15035	178467
777	15055	178454
778	15073	178428
779	15091	178392
780	15110	178370
781	15129	178338
782	15148	178313
783	15167	178294
784	15185	178259
785	15204	178240
786	15223	178213
787	15242	178190
788	15262	178177
789	15281	178158
790	15301	178146
791	15321	178131
792	15341	178116
793	15360	178101
794	15380	178089
795	15399	178059
796	15417	178028
797	15437	178013
798	15457	178003
799	15477	177990
800	15506	178083
801	15525	178059
802	15543	178027
803	15563	178011
804	15582	177986
805	15601	177963
806	15619	177931
807	15637	177894
808	15656	177868
809	15677	177871
810	15696	177851
811	15716	177831
812	15734	177801
813	15754	177793
814	15774	177776
815	15792	177742
816	15811	177717
817	15830	177698
818	15849	177674
819	15868	177649
820	15887	177628
821	15905	177594
822	15925	177576
823	15944	177561
824	15964	177546
825	15984	177530
826	16003	177513
827	16022	177489
828	16042	177475
829	16062	177462
830	16082	177453
831	16102	177442
832	16123	177436
833	16143	177423
834	16163	177412
835	16185	177416
836	16203	177390
837	16223	177377
838	16244	177377
839	16265	177366
840	16285	177357
841	16305	177345
842	16325	177337
843	16346	177334
844	16366	177321
845	16388	177327
846	16409	177326
847	16429	177311
848	16448	177295
849	16468	177281
850	16489	177271
851	16509	177265
852	16529	177254
853	16549	177240
854	16569	177220
855	16588	177197
856	16608	177192
857	16627	177163
858	16647	177150
859	16666	177130
860	16686	177118
861	16705	177094
862	16725	177079
863	16745	177072
864	16765	177055
865	16784	177030
866	16803	177010
867	16823	176991
868	16842	176968
869	16862	176960
870	16884	176969
871	16907	176981
872	16927	176975
873	16950	176995
874	16970	176981
875	16989	176956
876	17008	176929
877	17028	176920
878	17047	176898
879	17066	176869
880	17085	176851
881	17106	176848
882	17125	176822
883	17144	176796
884	17164	176786
885	17183	176760
886	17202	176738
887	17221	176717
888	17240	176693
889	17261	176687
890	17281	176673
891	17300	176647
892	17319	176628
893	17338	176607
894	17358	176592
895	17378	176578
896	17397	176556
897	17417	176538
898	17435	176509
899	17454	176487
900	17483	176566
901	17503	176550
902	17523	176532
903	17542	176511
904	17561	176485
905	17579	176454
906	17597	176424
907	17616	176396
908	17635	176377
909	17654	176352
910	17672	176321
911	17692	176299
912	17711	176280
913	17729	176249
914	17748	176229
915	17768	176213
916	17787	176186
917	17807	176170
918	17826	176148
919	17844	176119
920	17864	176104
921	17883	176084
922	17903	176071
923	17922	176046
924	17941	176024
925	17960	175994
926	17979	175976
927	17998	175952
928	18017	175924
929	18037	175910
930	18057	175900
931	18077	175890
932	18096	175866
933	18116	175846
934	18133	175810
935	18154	175802
936	18174	175792
937	18193	175765
938	18212	175747
939	18232	175730
940	18251	175710
941	18271	175694
942	18290	175667
943	18310	175653
944	18329	175631
945	18348	175609
946	18366	175582
947	18387	175569
948	18407	175556
949	18426	175537
950	18444	175506
951	18463	175484
952	18482	175453
953	18502	175443
954	18521	175425
955	18542	175413
956	18562	175399
957	18582	175387
958	18600	175359
959	18619	175334
960	18638	175311
961	18657	175289
962	18679	175293
963	18698	175267
964	18716	175239
965	18736	175221
966	18755	175202
967	18775	175182
968	18794	175162
969	18813	175142
970	18834	175135
971	18855	175129
972	18874	175103
973	18894	175090
974	18913	175066
975	18932	175050
976	18951	175025
977	18970	175004
978	18989	174983
979	19008	174952
980	19028	174940
981	19046	174913
982	19066	174892
983	19084	174867
984	19104	174845
985	19123	174829
986	19144	174823
987	19164	174807
988	19184	174793
989	19204	174783
990	19224	174764
991	19243	174745
992	19261	174715
993	19285	174731
994	19304	174708
995	19322	174680
996	19341	174654
997	19360	174634
998	19381	174628
999	19400	174603
1000	19429	174673
1001	19449	174656
1002	19468	174631
1003	19488	174621
1004	19508	174602
1005	19526	174574
1006	19545	174546
1007	19564	174527
1008	19584	174511
1009	19603	174492
1010	19623	174476
1011	19643	174461
1012	19664	174453
1013	19683	174437
1014	19703	174419
1015	19722	174393
1016	19741	174370
1017	19761	174358
1018	19779	174329
1019	19799	174311
1020	19817	174282
1021	19838	174280
1022	19860	174276
1023	19878	174246
1024	19895	174211
1025	19915	174193
1026	19934	174168
1027	19956	174169
1028	19974	174141
1029	19995	174133
1030	20016	174129
1031	20036	174113
1032	20056	174098
1033	20077	174095
1034	20095	174068
1035	20114	174039
1036	20134	174025
1037	20154	174010
1038	20173	173992
1039	20194	173985
1040	20215	173975
1041	20233	173946
1042	20256	173953
1043	20275	173930
1044	20294	173907
1045	20313	173885
1046	20333	173871
1047	20352	173851
1048	20371	173830
1049	20391	173813
1050	20410	173793
1051	20429	173767
1052	20449	173753
1053	20470	173743
1054	20489	173727
1055	20509	173708
1056	20528	173682
1057	20547	173666
1058	20566	173640
1059	20585	173616
1060	20605	173601
1061	20627	173605
1062	20648	173595
1063	20667	173575
1064	20687	173561
1065	20706	173538
1066	20725	173519
1067	20745	173502
1068	20764	173478
1069	20784	173466
1070	20804	173445
1071	20822	173413
1072	20840	173387
1073	20859	173367
1074	20880	173356
1075	20899	173331
1076	20919	173318
1077	20938	173296
1078	20957	173275
1079	20978	173266
1080	20996	173237
1081	21016	173221
1082	21037	173211
1083	21056	173191
1084	21076	173173
1085	21095	173157
1086	21114	173132
1087	21134	173116
1088	21154	173100
1089	21173	173074
1090	21193	173062
1091	21213	173052
1092	21234	173041
1093	21253	173021
1094	21273	173008
1095	21292	172984
1096	21312	172965
1097	21331	172942
1098	21348	172909
1099	21367	172885
1100	21397	172949
1101	21417	172931
1102	21437	172921
1103	21456	172898
1104	21475	172873
1105	21493	172843
1106	21514	172833
1107	21533	172809
1108	21553	172798
1109	21572	172774
1110	21593	172765
1111	21613	172756
1112	21634	172745
1113	21654	172728
1114	21674	172714
1115	21694	172701
1116	21712	172673
1117	21732	172651
1118	21753	172647
1119	21773	172629
1120	21791	172604
1121	21811	172582
1122	21830	172564
1123	21849	172538
1124	21868	172514
1125	21887	172492
1126	21907	172478
1127	21926	172455
1128	21946	172439
1129	21967	172432
1130	21985	172403
1131	22005	172388
1132	22026	172380
1133	22045	172361
1134	22066	172349
1135	22086	172335
1136	22106	172325
1137	22126	172309
1138	22144	172279
1139	22164	172264
1140	22184	172244
1141	22204	172230
1142	22223	172204
1143	22241	172180
1144	22260	172152
1145	22279	172134
1146	22298	172110
1147	22316	172080
1148	22336	172060
1149	22353	172027
1150	22374	172020
1151	22393	171993
1152	22413	171977
1153	22432	171959
1154	22451	171933
1155	22471	171917
1156	22491	171905
1157	22512	171894
1158	22530	171863
1159	22550	171853
1160	22570	171834
1161	22591	171827
1162	22611	171815
1163	22631	171798
1164	22650	171775
1165	22671	171764
1166	22691	171750
1167	22710	171731
1168	22730	171712
1169	22752	171711
1170	22772	171699
1171	22793	171689
1172	22814	171682
1173	22834	171666
1174	22853	171647
1175	22873	171627
1176	22891	171601
1177	22911	171580
1178	22930	171563
1179	22950	171546
1180	22969	171524
1181	22989	171505
1182	23008	171485
1183	23027	171464
1184	23047	171443
1185	23066	171424
1186	23084	171395
1187	23103	171368
1188	23122	171350
1189	23142	171329
1190	23162	171314
1191	23181	171292
1192	23199	171264
1193	23217	171236
1194	23235	171203
1195	23256	171194
1196	23274	171168
1197	23294	171148
1198	23313	171130
1199	23334	171123
1200	23365	171184
1201	23384	171162
1202	23404	171146
1203	23423	171122
1204	23444	171115
1205	23464	171099
1206	23484	171088
1207	23506	171081
1208	23527	171075
1209	23545	171048
1210	23565	171026
1211	23584	171004
1212	23603	170982
1213	23622	170963
1214	23641	170941
1215	23660	170919
1216	23679	170891
1217	23697	170865
1218	23716	170839
1219	23736	170823
1220	23755	170799
1221	23773	170775
1222	23793	170757
1223	23813	170738
1224	23833	170726
1225	23852	170703
1226	23871	170679
1227	23890	170656
1228	23909	170632
1229	23928	170610
1230	23948	170600
1231	23968	170580
1232	23987	170561
1233	24006	170536
1234	24026	170521
1235	24046	170506
1236	24067	170494
1237	24087	170479
1238	24106	170458
1239	24126	170440
1240	24143	170405
1241	24164	170395
1242	24183	170374
1243	24203	170356
1244	24221	170325
1245	24239	170296
1246	24258	170278
1247	24278	170260
1248	24297	170239
1249	24316	170218
1250	24338	170211
1251	24356	170183
1252	24374	170155
1253	24393	170133
1254	24412	170109
1255	24432	170095
1256	24451	170068
1257	24469	170043
1258	24489	170026
1259	24508	170003
1260	24527	169983
1261	24546	169957
1262	24564	169931
1263	24585	169922
1264	24604	169900
1265	24623	169875
1266	24643	169859
1267	24661	169832
1268	24684	169831
1269	24703	169811
1270	24722	169786
1271	24741	169765
1272	24759	169740
1273	24783	169746
1274	24802	169726
1275	24822	169708
1276	24841	169686
1277	24861	169674
1278	24880	169649
1279	24898	169620
1280	24918	169606
1281	24938	169592
1282	24958	169572
1283	24976	169545
1284	24997	169535
1285	25017	169517
1286	25036	169497
1287	25055	169477
1288	25074	169449
1289	25093	169428
1290	25113	169411
1291	25132	169393
1292	25151	169368
1293	25170	169345
1294	25191	169338
1295	25210	169316
1296	25230	169298
1297	25251	169290
1298	25269	169263
1299	25289	169245
1300	25321	169308
1301	25340	169287
1302	25358	169259
1303	25377	169236
1304	25395	169207
1305	25414	169183
1306	25434	169167
1307	25453	169147
1308	25473	169129
1309	25492	169103
1310	25510	169078
1311	25528	169051
1312	25548	169034
1313	25569	169020
1314	25588	169004
1315	25607	168978
1316	25625	168952
1317	25645	168931
1318	25664	168908
1319	25681	168877
1320	25701	168860
1321	25719	168828
1322	25739	168812
1323	25761	168810
1324	25779	168784
1325	25797	168751
1326	25815	168723
1327	25833	168693
1328	25852	168672
1329	25871	168650
1330	25889	168623
1331	25909	168606
1332	25930	168594
1333	25947	168563
1334	25967	168548
1335	25986	168521
1336	26005	168498
1337	26024	168479
1338	26045	168466
1339	26064	168445
1340	26082	168418
1341	26102	168398
1342	26121	168381
1343	26141	168362
1344	26160	168344
1345	26179	168316
1346	26197	168287
1347	26216	168264
1348	26236	168251
1349	26257	168240
1350	26276	168220
1351	26296	168201
1352	26316	168185
1353	26333	168154
1354	26352	168133
1355	26371	168110
1356	26391	168092
1357	26411	168075
1358	26428	168042
1359	26447	168017
1360	26464	167985
1361	26484	167966
1362	26503	167944
1363	26521	167918
1364	26539	167890
1365	26562	167894
1366	26581	167868
1367	26600	167848
1368	26621	167835
1369	26639	167810
1370	26658	167785
1371	26678	167768
1372	26697	167750
1373	26716	167729
1374	26735	167705
1375	26754	167685
1376	26775	167669
1377	26794	167649
1378	26812	167618
1379	26830	167593
1380	26850	167577
1381	26868	167547
1382	26887	167524
1383	26907	167508
1384	26926	167485
1385	26944	167458
1386	26964	167441
1387	26983	167420
1388	27002	167396
1389	27020	167371
1390	27039	167346
1391	27057	167319
1392	27075	167293
1393	27095	167275
1394	27114	167253
1395	27134	167240
1396	27155	167230
1397	27174	167209
1398	27193	167187
1399	27213	167168
1400	27241	167200
1401	27261	167183
1402	27281	167169
1403	27300	167146
1404	27320	167134
1405	27341	167120
